id,bits,group
blueprint,3,0
corridors,2,0
parcas,2,0
protected_areas,2,0
slr_depth,4,0
urban,3,0
wildfire_risk,4,0
f_atlanticmigratoryfishhabitat,4,3
f_caribbeannaturallandcoverinfloodplains,3,7
f_caribbeannetworkcomplexity,3,7
f_caribbeanpermeablesurface,3,7
f_floodplaininundation,3,1
f_gulfmigratoryfishconnectivity,2,3
f_imperiledaquaticspecies,4,1
f_lakesandreservoirs,3,1
f_naturallandcoverinfloodplains,3,1
f_networkcomplexity,4,1
f_permeablesurface,3,1
m_atlanticcoralandhardbottom,4,5
m_atlanticdeepseacoralrichness,3,5
m_atlanticestuarinefishhabitat,4,5
m_atlanticmarinebirds,4,5
m_atlanticmarinemammals,4,5
m_caribbeanbeachhabitat,2,8
m_caribbeancoastalshorelinecondition,2,7
m_caribbeanfishhotspots,3,7
m_caribbeanfishnurseryhabitat,2,7
m_caribbeanmangrovemigration,3,7
m_caribbeanseagrass,3,7
m_caribbeanshallowhardbottomandcoral,3,9
m_coastalshorelinecondition,3,6
m_estuarinecoastalcondition,3,6
m_gulfcoralandhardbottom,4,6
m_gulfdeepseacoralrichness,3,4
m_gulfmarinemammals,4,6
m_gulfseaturtles,3,4
m_islandhabitat,2,5
m_marinehighlymigratoryfish,4,6
m_resilientcoastalsites,4,6
m_seagrass,2,6
m_southatlanticbeachbirds,3,5
m_southatlanticmaritimeforest,2,9
m_stablecoastalwetlands,2,9
t_caribbeangreenwaysandtrails,3,8
t_caribbeanhabitatpatchsizelargeislands,3,8
t_caribbeanhabitatpatchsizesmallislands,3,8
t_caribbeanislandhabitat,4,8
t_caribbeankarsthabitat,3,8
t_caribbeanlandscapecondition,3,8
t_caribbeanlowurbanhistoriclandscapes,2,7
t_caribbeanreforestationpotential,3,8
t_caribbeanurbanparksize,3,9
t_eastcoastalplainopenpinebirds,3,2
t_firefrequency,3,2
t_grasslandandsavannaextent,4,2
t_grasslandandsavannarestoration,3,2
t_greenwaysandtrails,4,1
t_imperiledamphibiansandreptiles,3,2
t_imperiledmammals,3,2
t_intacthabitatcores,3,2
t_landscapecondition,3,3
t_mississippialluvialvalleyforestbirdsprotection,4,4
t_mississippialluvialvalleyforestbirdsreforestation,4,4
t_playas,3,3
t_potentialaccesstoparks,3,3
t_puertoricopotentialaccesstoparks,3,9
t_resilientterrestrialsites,4,0
t_rivercanerestoration,3,3
t_southatlanticforestbirds,3,3
t_southatlanticlowurbanhistoriclandscapes,2,2
t_urbanparksize,3,3
t_usvirginislandsimperiledterrestrialspecies,3,9
t_westcoastalplainandouachitasforestedwetlandbirds,3,4
t_westcoastalplainandouachitasopenpinebirds,3,4
t_westgulfcoastmottledducknesting,4,4
